"round","team1","seed1","seednumber1","team2","seed2","seednumber2","upsetprobability","recentperformancebonus","overtimebonus","scoringmarginbonus","predictedwinner"
"Round of 64","San Diego St","W05",5,"James Madison","Z12",12,"0.4","0","0.1","0","San Diego St"
"Round of 64","San Diego St","W05",5,"Grand Canyon","X12",12,"0.4","0","0.1","0","San Diego St"
"Round of 64","Auburn","W04",4,"Yale","W13",13,"0.4","0.1","0","0.1","Yale"
"Round of 64","Auburn","W04",4,"Vermont","Z13",13,"0.4","0.1","0","0.1","Vermont"
"Round of 64","Auburn","W04",4,"Col Charleston","X13",13,"0.4","0.1","0","0.1","Col Charleston"
"Round of 64","Auburn","W04",4,"Samford","Y13",13,"0.4","0.1","0","0.1","Auburn"
"Round of 64","North Carolina","X01",1,"Wagner","X16b",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Grambling","Y16a",16,"0.4","0","0.1","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Stetson","W16",16,"0.4","0.1","0","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Longwood","Z16",16,"0.4","0","0","0.1","Longwood"
"Round of 64","North Carolina","X01",1,"Montana St","Y16b",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Howard","X16a",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","FL Atlantic","W08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0.1","Texas A&M"
"Round of 64","FL Atlantic","W08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","Northwestern"
"Round of 64","FL Atlantic","W08",8,"TCU","Y09",9,"0.4","0.1","0.1","0","FL Atlantic"
"Round of 64","FL Atlantic","W08",8,"Michigan St","X09",9,"0.4","0.1","0.1","0","FL Atlantic"
"Round of 64","Illinois","W03",3,"Colgate","X14",14,"0.4","0.1","0.1","0.1","Colgate"
"Round of 64","Illinois","W03",3,"Akron","Y14",14,"0.4","0.1","0","0.1","Akron"
"Round of 64","Illinois","W03",3,"Morehead St","W14",14,"0.4","0.1","0","0.1","Morehead St"
"Round of 64","Illinois","W03",3,"Oakland","Z14",14,"0.4","0.1","0","0.1","Oakland"
"Round of 64","Texas Tech","Z06",6,"Oregon","Y11",11,"0.4","0","0","0.1","Texas Tech"
"Round of 64","Texas Tech","Z06",6,"Duquesne","W11",11,"0.4","0","0.1","0.1","Texas Tech"
"Round of 64","Texas Tech","Z06",6,"New Mexico","X11",11,"0.4","0","0.1","0.1","Texas Tech"
"Round of 64","Texas Tech","Z06",6,"NC State","Z11",11,"0.4","0","0","0.1","Texas Tech"
"Round of 64","Washington St","W07",7,"Boise St","Z10a",10,"0.4","0","0","0","Washington St"
"Round of 64","Washington St","W07",7,"Colorado St","Y10a",10,"0.4","0","0","0","Colorado St"
"Round of 64","Washington St","W07",7,"Drake","W10",10,"0.4","0","0","0.1","Washington St"
"Round of 64","Washington St","W07",7,"Virginia","Y10b",10,"0.4","0","0","0","Virginia"
"Round of 64","Washington St","W07",7,"Colorado","Z10b",10,"0.4","0","0","0","Washington St"
"Round of 64","Washington St","W07",7,"Nevada","X10",10,"0.4","0","0","0","Washington St"
"Round of 64","Utah St","Y08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0","Texas A&M"
"Round of 64","Utah St","Y08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","Utah St"
"Round of 64","Utah St","Y08",8,"TCU","Y09",9,"0.4","0.1","0.1","0","TCU"
"Round of 64","Utah St","Y08",8,"Michigan St","X09",9,"0.4","0.1","0.1","0","Michigan St"
"Round of 64","Kansas","Y04",4,"Yale","W13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Vermont","Z13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Col Charleston","X13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Samford","Y13",13,"0.4","0","0","0.1","Samford"
"Round of 64","Kentucky","Z03",3,"Colgate","X14",14,"0.4","0","0.1","0.1","Kentucky"
"Round of 64","Kentucky","Z03",3,"Akron","Y14",14,"0.4","0","0.1","0.1","Akron"
"Round of 64","Kentucky","Z03",3,"Morehead St","W14",14,"0.4","0","0.1","0.1","Kentucky"
"Round of 64","Kentucky","Z03",3,"Oakland","Z14",14,"0.4","0","0","0.1","Oakland"
"Round of 64","St Mary's CA","X05",5,"McNeese St","Y12",12,"0.4","0","0.1","0.1","McNeese St"
"Round of 64","St Mary's CA","X05",5,"UAB","W12",12,"0.4","0","0","0.1","UAB"
"Round of 64","St Mary's CA","X05",5,"James Madison","Z12",12,"0.4","0","0","0.1","St Mary's CA"
"Round of 64","St Mary's CA","X05",5,"Grand Canyon","X12",12,"0.4","0","0.1","0.1","Grand Canyon"
"Round of 64","Iowa St","W02",2,"S Dakota St","W15",15,"0.4","0.1","0","0.1","S Dakota St"
"Round of 64","Iowa St","W02",2,"WKU","Z15",15,"0.4","0.1","0","0.1","WKU"
"Round of 64","Iowa St","W02",2,"St Peter's","Y15",15,"0.4","0.1","0.1","0.1","St Peter's"
"Round of 64","Iowa St","W02",2,"Long Beach St","X15",15,"0.4","0.1","0","0.1","Long Beach St"
"Round of 64","Nebraska","Z08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0.1","Texas A&M"
"Round of 64","Nebraska","Z08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","Northwestern"
"Round of 64","Nebraska","Z08",8,"TCU","Y09",9,"0.4","0","0.1","0.1","TCU"
"Round of 64","Nebraska","Z08",8,"Michigan St","X09",9,"0.4","0","0.1","0","Nebraska"
"Round of 64","Duke","Z04",4,"Yale","W13",13,"0.4","0","0","0.1","Yale"
"Round of 64","Duke","Z04",4,"Vermont","Z13",13,"0.4","0","0","0.1","Vermont"
"Round of 64","Duke","Z04",4,"Col Charleston","X13",13,"0.4","0","0","0.1","Duke"
"Round of 64","Duke","Z04",4,"Samford","Y13",13,"0.4","0","0","0.1","Duke"
"Round of 64","Mississippi St","X08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0.1","Texas A&M"
"Round of 64","Mississippi St","X08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","Northwestern"
"Round of 64","Mississippi St","X08",8,"TCU","Y09",9,"0.4","0","0.1","0.1","Mississippi St"
"Round of 64","Mississippi St","X08",8,"Michigan St","X09",9,"0.4","0","0.1","0","Mississippi St"
"Round of 64","Gonzaga","Y05",5,"McNeese St","Y12",12,"0.4","0","0","0.1","Gonzaga"
"Round of 64","Gonzaga","Y05",5,"UAB","W12",12,"0.4","0","0","0.1","UAB"
"Round of 64","Gonzaga","Y05",5,"James Madison","Z12",12,"0.4","0","0","0.1","Gonzaga"
"Round of 64","Gonzaga","Y05",5,"Grand Canyon","X12",12,"0.4","0","0","0.1","Grand Canyon"
"Round of 64","Tennessee","Y02",2,"S Dakota St","W15",15,"0.4","0","0","0.1","S Dakota St"
"Round of 64","Tennessee","Y02",2,"WKU","Z15",15,"0.4","0","0","0.1","Tennessee"
"Round of 64","Tennessee","Y02",2,"St Peter's","Y15",15,"0.4","0","0","0.1","St Peter's"
"Round of 64","Tennessee","Y02",2,"Long Beach St","X15",15,"0.4","0","0","0.1","Tennessee"
"Round of 64","Florida","Z07",7,"Boise St","Z10a",10,"0.4","0.1","0.1","0.1","Florida"
"Round of 64","Florida","Z07",7,"Colorado St","Y10a",10,"0.4","0","0","0.1","Florida"
"Round of 64","Florida","Z07",7,"Drake","W10",10,"0.4","0","0","0.1","Drake"
"Round of 64","Florida","Z07",7,"Virginia","Y10b",10,"0.4","0.1","0.1","0.1","Virginia"
"Round of 64","Florida","Z07",7,"Colorado","Z10b",10,"0.4","0","0.1","0.1","Florida"
"Round of 64","Florida","Z07",7,"Nevada","X10",10,"0.4","0.1","0.1","0.1","Nevada"
"Round of 64","BYU","W06",6,"Oregon","Y11",11,"0.4","0","0","0.1","Oregon"
"Round of 64","BYU","W06",6,"Duquesne","W11",11,"0.4","0","0","0.1","BYU"
"Round of 64","BYU","W06",6,"New Mexico","X11",11,"0.4","0","0","0.1","New Mexico"
"Round of 64","BYU","W06",6,"NC State","Z11",11,"0.4","0","0","0.1","NC State"
"Round of 64","Connecticut","W01",1,"Wagner","X16b",16,"0.4","0.1","0","0.1","Wagner"
"Round of 64","Connecticut","W01",1,"Grambling","Y16a",16,"0.4","0.1","0.1","0.1","Grambling"
"Round of 64","Connecticut","W01",1,"Stetson","W16",16,"0.4","0.1","0.1","0.1","Stetson"
"Round of 64","Connecticut","W01",1,"Longwood","Z16",16,"0.4","0.1","0","0.1","Longwood"
"Round of 64","Connecticut","W01",1,"Montana St","Y16b",16,"0.4","0.1","0.1","0.1","Connecticut"
"Round of 64","Connecticut","W01",1,"Howard","X16a",16,"0.4","0.1","0","0.1","Connecticut"
"Round of 64","Creighton","Y03",3,"Colgate","X14",14,"0.4","0","0.1","0.1","Colgate"
"Round of 64","Creighton","Y03",3,"Akron","Y14",14,"0.4","0","0","0.1","Akron"
"Round of 64","Creighton","Y03",3,"Morehead St","W14",14,"0.4","0","0","0.1","Morehead St"
"Round of 64","Creighton","Y03",3,"Oakland","Z14",14,"0.4","0","0","0.1","Oakland"
"Round of 64","Dayton","X07",7,"Boise St","Z10a",10,"0.4","0","0","0","Boise St"
"Round of 64","Dayton","X07",7,"Colorado St","Y10a",10,"0.4","0","0","0","Colorado St"
"Round of 64","Dayton","X07",7,"Drake","W10",10,"0.4","0","0","0","Dayton"
"Round of 64","Dayton","X07",7,"Virginia","Y10b",10,"0.4","0","0","0","Dayton"
"Round of 64","Dayton","X07",7,"Colorado","Z10b",10,"0.4","0","0","0","Dayton"
"Round of 64","Dayton","X07",7,"Nevada","X10",10,"0.4","0","0","0","Nevada"
"Round of 64","Alabama","X04",4,"Yale","W13",13,"0.4","0","0.1","0.1","Yale"
"Round of 64","Alabama","X04",4,"Vermont","Z13",13,"0.4","0","0.1","0.1","Alabama"
"Round of 64","Alabama","X04",4,"Col Charleston","X13",13,"0.4","0","0","0.1","Alabama"
"Round of 64","Alabama","X04",4,"Samford","Y13",13,"0.4","0","0.1","0.1","Samford"
"Round of 64","Houston","Z01",1,"Wagner","X16b",16,"0.4","0.1","0.1","0.1","Wagner"
"Round of 64","Houston","Z01",1,"Grambling","Y16a",16,"0.4","0","0.1","0.1","Grambling"
"Round of 64","Houston","Z01",1,"Stetson","W16",16,"0.4","0.1","0.1","0.1","Stetson"
"Round of 64","Houston","Z01",1,"Longwood","Z16",16,"0.4","0.1","0.1","0.1","Longwood"
"Round of 64","Houston","Z01",1,"Montana St","Y16b",16,"0.4","0.1","0.1","0.1","Montana St"
"Round of 64","Houston","Z01",1,"Howard","X16a",16,"0.4","0.1","0.1","0.1","Houston"
"Round of 64","South Carolina","Y06",6,"Oregon","Y11",11,"0.4","0","0.1","0.1","Oregon"
"Round of 64","South Carolina","Y06",6,"Duquesne","W11",11,"0.4","0","0.1","0.1","Duquesne"
"Round of 64","South Carolina","Y06",6,"New Mexico","X11",11,"0.4","0","0.1","0","South Carolina"
"Round of 64","South Carolina","Y06",6,"NC State","Z11",11,"0.4","0","0","0","South Carolina"
"Round of 64","Arizona","X02",2,"S Dakota St","W15",15,"0.4","0","0.1","0.1","S Dakota St"
"Round of 64","Arizona","X02",2,"WKU","Z15",15,"0.4","0","0.1","0.1","WKU"
"Round of 64","Arizona","X02",2,"St Peter's","Y15",15,"0.4","0","0.1","0.1","St Peter's"
"Round of 64","Arizona","X02",2,"Long Beach St","X15",15,"0.4","0","0.1","0.1","Arizona"
"Round of 64","Marquette","Z02",2,"S Dakota St","W15",15,"0.4","0","0.1","0.1","S Dakota St"
"Round of 64","Marquette","Z02",2,"WKU","Z15",15,"0.4","0","0.1","0.1","WKU"
"Round of 64","Marquette","Z02",2,"St Peter's","Y15",15,"0.4","0","0.1","0.1","St Peter's"
"Round of 64","Marquette","Z02",2,"Long Beach St","X15",15,"0.4","0","0.1","0.1","Marquette"
"Sweet 16","Wagner","Y01",1,"Texas A&M","W08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Wagner","Y01",1,"Northwestern","W08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","FL Atlantic"
"Sweet 16","Wagner","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Texas A&M","Y08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Utah St","Y08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"TCU","Y08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Michigan St","Y08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Texas A&M","Z08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Wagner","Y01",1,"Northwestern","Z08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Wagner","Y01",1,"TCU","Z08",8,"0.4","0","0","0.1","TCU"
"Sweet 16","Wagner","Y01",1,"Nebraska","Z08",8,"0.4","0","0","0.1","Nebraska"
"Sweet 16","Wagner","Y01",1,"Texas A&M","X08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Northwestern","X08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Wagner"
"Sweet 16","Wagner","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Mississippi St"
"Sweet 16","Grambling","Y01",1,"Texas A&M","W08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Northwestern","W08",8,"0.4","0","0.1","0.1","Northwestern"
"Sweet 16","Grambling","Y01",1,"FL Atlantic","W08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"FL Atlantic","W08",8,"0.4","0","0.1","0.1","FL Atlantic"
"Sweet 16","Grambling","Y01",1,"Texas A&M","Y08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Utah St","Y08",8,"0.4","0","0.1","0.1","Utah St"
"Sweet 16","Grambling","Y01",1,"TCU","Y08",8,"0.4","0","0.1","0.1","TCU"
"Sweet 16","Grambling","Y01",1,"Michigan St","Y08",8,"0.4","0","0.1","0.1","Michigan St"
"Sweet 16","Grambling","Y01",1,"Texas A&M","Z08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Northwestern","Z08",8,"0.4","0","0.1","0.1","Northwestern"
"Sweet 16","Grambling","Y01",1,"TCU","Z08",8,"0.4","0","0.1","0.1","TCU"
"Sweet 16","Grambling","Y01",1,"Nebraska","Z08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Texas A&M","X08",8,"0.4","0","0.1","0.1","Texas A&M"
"Sweet 16","Grambling","Y01",1,"Northwestern","X08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Mississippi St","X08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Grambling","Y01",1,"Mississippi St","X08",8,"0.4","0","0.1","0.1","Grambling"
"Sweet 16","Purdue","Y01",1,"Texas A&M","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Northwestern","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Y08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Utah St","Y08",8,"0.4","0","0","0.1","Utah St"
"Sweet 16","Purdue","Y01",1,"TCU","Y08",8,"0.4","0","0","0.1","TCU"
"Sweet 16","Purdue","Y01",1,"Michigan St","Y08",8,"0.4","0","0","0.1","Michigan St"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Z08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","Z08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"TCU","Z08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Nebraska","Z08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","X08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","X08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","W08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","FL Atlantic"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Utah St","Y08",8,"0.4","0","0","0.1","Utah St"
"Sweet 16","Purdue","Y01",1,"TCU","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Michigan St","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Z08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Northwestern","Z08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Purdue","Y01",1,"TCU","Z08",8,"0.4","0","0","0.1","TCU"
"Sweet 16","Purdue","Y01",1,"Nebraska","Z08",8,"0.4","0","0","0.1","Nebraska"
"Sweet 16","Purdue","Y01",1,"Texas A&M","X08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","X08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Mississippi St"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Mississippi St"
"Sweet 16","Montana St","Y01",1,"Texas A&M","W08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"Northwestern","W08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Montana St","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","FL Atlantic"
"Sweet 16","Montana St","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","FL Atlantic"
"Sweet 16","Montana St","Y01",1,"Texas A&M","Y08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Montana St","Y01",1,"Utah St","Y08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"TCU","Y08",8,"0.4","0","0","0.1","TCU"
"Sweet 16","Montana St","Y01",1,"Michigan St","Y08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"Texas A&M","Z08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Montana St","Y01",1,"Northwestern","Z08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"TCU","Z08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"Nebraska","Z08",8,"0.4","0","0","0.1","Nebraska"
"Sweet 16","Montana St","Y01",1,"Texas A&M","X08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Montana St","Y01",1,"Northwestern","X08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Montana St","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Montana St"
"Sweet 16","Montana St","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Mississippi St"
"Sweet 16","Purdue","Y01",1,"Texas A&M","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Northwestern","W08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"FL Atlantic","W08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Utah St","Y08",8,"0.4","0","0","0.1","Utah St"
"Sweet 16","Purdue","Y01",1,"TCU","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Michigan St","Y08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Texas A&M","Z08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","Z08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Purdue","Y01",1,"TCU","Z08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Nebraska","Z08",8,"0.4","0","0","0.1","Nebraska"
"Sweet 16","Purdue","Y01",1,"Texas A&M","X08",8,"0.4","0","0","0.1","Texas A&M"
"Sweet 16","Purdue","Y01",1,"Northwestern","X08",8,"0.4","0","0","0.1","Northwestern"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Purdue"
"Sweet 16","Purdue","Y01",1,"Mississippi St","X08",8,"0.4","0","0","0.1","Mississippi St"
"Sweet 16","Colgate","X03",3,"Clemson","X06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"Duquesne","X06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"New Mexico","X06",6,"0.4","0","0.1","0.1","New Mexico"
"Sweet 16","Colgate","X03",3,"Clemson","X06",6,"0.4","0","0.1","0.1","Clemson"
"Sweet 16","Colgate","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Texas Tech"
"Sweet 16","Colgate","X03",3,"Oregon","W06",6,"0.4","0","0.1","0.1","Oregon"
"Sweet 16","Colgate","X03",3,"BYU","W06",6,"0.4","0","0.1","0.1","BYU"
"Sweet 16","Colgate","X03",3,"New Mexico","W06",6,"0.4","0","0.1","0.1","New Mexico"
"Sweet 16","Colgate","X03",3,"NC State","W06",6,"0.4","0","0.1","0.1","NC State"
"Sweet 16","Colgate","X03",3,"Oregon","Y06",6,"0.4","0","0.1","0.1","Oregon"
"Sweet 16","Colgate","X03",3,"Duquesne","Y06",6,"0.4","0","0.1","0.1","Duquesne"
"Sweet 16","Colgate","X03",3,"South Carolina","Y06",6,"0.4","0","0.1","0.1","Colgate"
"Sweet 16","Colgate","X03",3,"South Carolina","Y06",6,"0.4","0","0.1","0.1","South Carolina"
"Sweet 16","Baylor","X03",3,"Clemson","X06",6,"0.4","0","0.1","0.1","Clemson"
"Sweet 16","Baylor","X03",3,"Duquesne","X06",6,"0.4","0","0.1","0.1","Baylor"
"Sweet 16","Baylor","X03",3,"New Mexico","X06",6,"0.4","0","0.1","0.1","New Mexico"
"Sweet 16","Baylor","X03",3,"Clemson","X06",6,"0.4","0","0.1","0.1","Baylor"
"Sweet 16","Baylor","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Texas Tech"
"Sweet 16","Baylor","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Texas Tech"
"Sweet 16","Baylor","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Baylor"
"Sweet 16","Baylor","X03",3,"Texas Tech","Z06",6,"0.4","0","0.1","0.1","Texas Tech"
"Sweet 16","Baylor","X03",3,"Oregon","W06",6,"0.4","0","0.1","0.1","Baylor"
"Sweet 16","Baylor","X03",3,"BYU","W06",6,"0.4","0","0.1","0.1","Baylor"
"Sweet 16","Baylor","X03",3,"New Mexico","W06",6,"0.4","0","0.1","0.1","New Mexico"
"Sweet 16","Baylor","X03",3,"NC State","W06",6,"0.4","0","0.1","0.1","NC State"
"Sweet 16","Baylor","X03",3,"Oregon","Y06",6,"0.4","0","0.1","0.1","Oregon"
"Sweet 16","Baylor","X03",3,"Duquesne","Y06",6,"0.4","0","0.1","0.1","Duquesne"
"Sweet 16","Baylor","X03",3,"South Carolina","Y06",6,"0.4","0","0.1","0.1","Baylor"
